Idiom,Meaning,Transliteration,Translated
A blessing in disguise,a good thing that seemed bad at first,A blessing in disguise,आशीर्वाद में आशीर्वाद
A dime a dozen,Something common,A dime a dozen,दसवीं शताब्दी
Beat around the bush,"Avoid saying what you mean, usually because it is uncomfortable",Beat around the bush,बश के चारों ओर घूमना
Better late than never,Better to arrive late than not to come at all,Better late than never,कभी नहीं देर से बेहतर
Bite the bullet,To get something over with because it is inevitable,Bite the bullet,गेंद को मारना
Break a leg,Good luck,Break a leg,एक पैर तोड़ना
Call it a day,Stop working on something,Call it a day,इसे एक दिन बुलाओ
Cut somebody some slack,Don't be so critical,Cut somebody some slack,किसी को कटौती करें
Cutting corners,Doing something poorly in order to save time or money,Cutting corners,कोनों को काटने
Easy does it,Slow down,Easy does it,आसानी से किया जाता है
Get out of hand,Get out of control,Get out of hand,हाथ से बाहर निकलें
Get something out of your system,Do the thing you've been wanting to do so you can move on,Get something out of your system,अपने सिस्टम से कुछ निकालें
Get your act together,Work better or leave,Get your act together,अपने कार्य को एक साथ रखें
Give someone the benefit of the doubt,Trust what someone says,Give someone the benefit of the doubt,किसी को संदेह का लाभ देना
Go back to the drawing board,Start over,Go back to the drawing board,ड्राइंग बोर्ड पर लौटें
Hang in there,Don't give up,Hang in there,वहां लटका हुआ
Hit the sack,Go to sleep,Hit the sack,बैग को हिट करें
It's not rocket science,It's not complicated,It's not rocket science,यह रॉकेट विज्ञान नहीं है
Let someone off the hook,To not hold someone responsible for something,Let someone off the hook,किसी को गड्ढे से बाहर निकालें
Make a long story short,Tell something briefly,Make a long story short,एक लंबी कहानी छोटी बनाएं
Miss the boat,It's too late,Miss the boat,मिस जहाज
"No pain, no gain",You have to work for what you want,"No pain, no gain","कोई दर्द नहीं, कोई लाभ नहीं"
On the ball,Doing a good job,On the ball,गेंद पर
Pull someone's leg,To joke with someone,Pull someone's leg,किसी के पैर को छूना
Pull yourself together,Calm down,Pull yourself together,खुद को एक साथ रखें
So far so good,Things are going well so far,So far so good,अब तक इतनी अच्छी
Speak of the devil,The person we were just talking about showed up!,Speak of the devil,शैतान की बात
That's the last straw,My patience has run out,That's the last straw,यह आखिरी टुकड़ा है
The best of both worlds,An ideal situation,The best of both worlds,दोनों दुनिया का सबसे अच्छा
Time flies when you're having fun,You don't notice how long something lasts when it's fun,Time flies when you're having fun,समय उड़ता है जब आप मज़े कर रहे हैं
To get bent out of shape,To get upset,To get bent out of shape,आकार से बाहर निकलने के लिए
To make matters worse,Make a problem worse,To make matters worse,चीजों को बदतर बनाने के लिए
Under the weather,Sick,Under the weather,मौसम में
We'll cross that bridge when we come to it,Let's not talk about that problem right now,We'll cross that bridge when we come to it,हम उस पुल को पार करेंगे जब हम उस तक पहुंच जाएंगे
Wrap your head around something,Understand something complicated,Wrap your head around something,अपने सिर को कुछ के चारों ओर घुमाएं
You can say that again,"That's true, I agree",You can say that again,आप फिर से कह सकते हैं
Your guess is as good as mine,I have no idea,Your guess is as good as mine,आपका अनुमान मेरे जैसा अच्छा है
A bird in the hand is worth two in the bush,What you have is worth more than what you might have later,A bird in the hand is worth two in the bush,हाथ में एक पक्षी बश में दो के लायक है
A penny for your thoughts,Tell me what you're thinking,A penny for your thoughts,आपके विचारों के लिए एक पेन
A penny saved is a penny earned,Money you save today you can spend later,A penny saved is a penny earned,एक पेन बचाया है एक पेन कमाया है
A perfect storm,the worst possible situation,A perfect storm,सही तूफान
A picture is worth 1000 words,Better to show than tell,A picture is worth 1000 words,एक तस्वीर 1000 शब्दों के लायक है
Actions speak louder than words,Believe what people do and not what they say,Actions speak louder than words,कार्य शब्दों की तुलना में अधिक जोर से बोलते हैं
Add insult to injury,To make a bad situation worse,Add insult to injury,चोट के लिए अपमान जोड़ें
Barking up the wrong tree,"To be mistaken, to be looking for solutions in the wrong place",Barking up the wrong tree,गलत पेड़ को उतारना
Birds of a feather flock together,People who are alike are often friends (usually used negatively),Birds of a feather flock together,एक पंख के पक्षी एक साथ घूमते हैं
Bite off more than you can chew,Take on a project that you cannot finish,Bite off more than you can chew,आप जो कर सकते हैं उससे अधिक काटें
Break the ice,Make people feel more comfortable,Break the ice,आइसक्रीम तोड़ना
By the skin of your teeth,Just barely,By the skin of your teeth,अपने दांतों की त्वचा से
Comparing apples to oranges,Comparing two things that cannot be compared,Comparing apples to oranges,सेब और नारंगी की तुलना करें
Costs an arm and a leg,Very expensive,Costs an arm and a leg,एक हाथ और एक पैर की कीमत
